iterations,top_n,coherence,LL
3950,15,0.07309315210277985,-8.32397
4000,15,0.07421296072842387,-8.32683
50,15,0.03636580310230234,-9.03463
100,15,0.05220047066538181,-8.88493
150,15,0.05675479222345021,-8.837
200,15,0.06256907104084294,-8.79717
250,15,0.06616793201234462,-8.74579
300,15,0.06678703304751984,-8.62974
350,15,0.07112233209883906,-8.55515
400,15,0.0721155055647157,-8.519
450,15,0.07412064003620958,-8.49088
500,15,0.07513802254839884,-8.46451
550,15,0.07645242730469284,-8.45042
600,15,0.0738045803205783,-8.43454
650,15,0.07550359893458158,-8.42311
700,15,0.07591447291174394,-8.4165
750,15,0.07637523730714989,-8.40659
800,15,0.07495453868222285,-8.39772
850,15,0.07566485563418242,-8.39121
900,15,0.07435268952947553,-8.38641
950,15,0.07552501340201033,-8.38054
1000,15,0.07562994121196169,-8.37982
1050,15,0.07466847488468345,-8.37443
1100,15,0.07569023506365805,-8.37143
1150,15,0.07658174584010916,-8.36656
1200,15,0.07279168907917741,-8.36472
1250,15,0.07531718902500119,-8.36432
1300,15,0.07537903719335526,-8.36101
1350,15,0.07491912159906867,-8.3626
1400,15,0.07567151121724382,-8.36197
1450,15,0.07637250361685424,-8.35519
1500,15,0.07481335465066632,-8.35499
1550,15,0.0744638244730834,-8.3504
1600,15,0.07339815858213482,-8.35674
1650,15,0.0729199879028198,-8.35019
1700,15,0.07386139420965078,-8.34983
1750,15,0.07516911986302155,-8.34397
1800,15,0.07715027992735048,-8.3426
1850,15,0.0745183195692113,-8.34394
1900,15,0.0762621476516931,-8.34484
1950,15,0.07488829627836247,-8.34986
2000,15,0.0758448466583327,-8.34597
2050,15,0.07681198875585188,-8.34192
2100,15,0.07616103180707927,-8.34357
2150,15,0.0747409625229001,-8.3388
2200,15,0.07662229787357042,-8.33807
2250,15,0.0752422424143868,-8.33603
2300,15,0.07537340064373488,-8.33825
2350,15,0.07547061975381418,-8.34104
2400,15,0.07515695734878179,-8.34112
2450,15,0.07506529243575902,-8.34039
2500,15,0.07502689734238382,-8.34018
2550,15,0.07478441527708185,-8.34059
2600,15,0.0753430901280961,-8.3416
2650,15,0.07338966041082284,-8.33507
2700,15,0.07420839977292647,-8.33273
2750,15,0.07613191986579153,-8.33677
2800,15,0.07479134698833817,-8.34019
2850,15,0.07314432704172617,-8.33552
2900,15,0.07479487150087116,-8.3359
2950,15,0.07391852291679153,-8.33701
3000,15,0.07425723257569786,-8.3323
3050,15,0.0743126580538704,-8.33363
3100,15,0.0744716313778531,-8.33096
3150,15,0.07404198896753113,-8.33229
3200,15,0.07382357687193182,-8.32772
3250,15,0.07389983814861942,-8.32633
3300,15,0.0739996642609043,-8.3325
3350,15,0.07491615629515692,-8.33544
3400,15,0.07519036013051013,-8.3273
3450,15,0.07463046061830025,-8.32699
3500,15,0.07641410628443221,-8.32966
3550,15,0.07337315716234617,-8.32367
3600,15,0.07679659957075165,-8.33028
3650,15,0.07439901609451506,-8.3209
3700,15,0.07443279362018053,-8.33104
3750,15,0.07410867666201366,-8.3275
3800,15,0.07485363918834204,-8.32938
3850,15,0.07231565119593561,-8.32534
3900,15,0.07408108515401832,-8.32843
3950,15,0.07431769344999983,-8.32397
4000,15,0.07348342716498447,-8.32683
50,15,0.03795871405554243,-9.03463
100,15,0.0523471224452508,-8.88493
150,15,0.05902355575633894,-8.837
200,15,0.05936811328188848,-8.79717
250,15,0.06498733132732767,-8.74579
300,15,0.06585954408974894,-8.62974
350,15,0.06779345202423492,-8.55515
400,15,0.06701115790003567,-8.519
450,15,0.06951448763254715,-8.49088
500,15,0.06914858017792598,-8.46451
550,15,0.07153442582587251,-8.45042
600,15,0.07009512290433502,-8.43454
650,15,0.0699078184939025,-8.42311
700,15,0.07110162740782212,-8.4165
750,15,0.07090806548976282,-8.40659
800,15,0.0707058390672492,-8.39772
850,15,0.0710294481184823,-8.39121
900,15,0.07109419569072528,-8.38641
950,15,0.07016184915928139,-8.38054
