K,iterations,coherence,LL
17,3150,0.08800742899938174,-8.42952
17,3200,0.08744143162743995,-8.42889
17,3250,0.08614493959842373,-8.42221
17,3300,0.08590611820965516,-8.41983
17,3350,0.08759898907668892,-8.42014
17,3400,0.08546435631344095,-8.41965
17,3450,0.08409951301168658,-8.41394
17,3500,0.08325538283620654,-8.41565
17,3550,0.08419859200166081,-8.41401
17,3600,0.08282696052951893,-8.41392
17,3650,0.08360911855247283,-8.40944
17,3700,0.0837338979913452,-8.40887
17,3750,0.08477185264669554,-8.40861
17,3800,0.0824682442626466,-8.41012
17,3850,0.08425417108709767,-8.40423
17,3900,0.08535913165039341,-8.40554
17,3950,0.08501089137811281,-8.40476
17,4000,0.08427412443890489,-8.40541
17,4050,0.08332734662514699,-8.40369
17,4100,0.08281498889277918,-8.40338
17,4150,0.0862743024518259,-8.4034
17,4200,0.08235039247119857,-8.4016
17,4250,0.0834627556188736,-8.40155
17,4300,0.08261918812997232,-8.40028
17,4350,0.0833118180615762,-8.40067
17,4400,0.08335436582995773,-8.39989
17,4450,0.08152102542412304,-8.39848
17,4500,0.08373420341228181,-8.3987
17,4550,0.08175621829879574,-8.39786
17,4600,0.08392053787409137,-8.39829
17,4650,0.08320358139326957,-8.39835
17,4700,0.08150383077960285,-8.39622
17,4750,0.0837333975448713,-8.3962
17,4800,0.08235463399819108,-8.39755
17,4850,0.08258466511408923,-8.39667
17,4900,0.08238709550263071,-8.39589
17,4950,0.08142108109934486,-8.39585
17,5000,0.08192148493045204,-8.39622
17,5050,0.08212323500806262,-8.39517
17,5100,0.08118141239436295,-8.39571
17,5150,0.08217953346627421,-8.39568
17,5200,0.08285950940353276,-8.39713
17,5250,0.08201828354484265,-8.39554
17,5300,0.08187169577343177,-8.39559
17,5350,0.08193780079978266,-8.39513
17,5400,0.0844702188573725,-8.39536
17,5450,0.08241424308386044,-8.3946
17,5500,0.08225288003669688,-8.39457
17,5550,0.08273552072746639,-8.39342
17,5600,0.08193722635963067,-8.39439
17,5650,0.0836377015611601,-8.39285
17,5700,0.08136120268347306,-8.3937
17,5750,0.08180503511851284,-8.39282
17,5800,0.08179384177461127,-8.39559
17,5850,0.08165655927609272,-8.39337
17,5900,0.08319563605265681,-8.39232
17,5950,0.08306106930584443,-8.39382
17,6000,0.0826359022442202,-8.39389
17,6050,0.08348048909224055,-8.39251
17,6100,0.08355865065900088,-8.39294
17,6150,0.08235462703336444,-8.39342
17,6200,0.08219486531953633,-8.39208
17,6250,0.08160121284934867,-8.39177
17,6300,0.08122345338058157,-8.39328
17,6350,0.08149754914041735,-8.39241
17,6400,0.08156176853591582,-8.39415
17,6450,0.0831165270659337,-8.39361
17,6500,0.08195209958658936,-8.39224
17,6550,0.08491214187118652,-8.39429
17,6600,0.08140989036062046,-8.39346
17,6650,0.08171599764539579,-8.39409
17,6700,0.08249077673045883,-8.39379
17,6750,0.08183712992818341,-8.39357
17,6800,0.08262808560003478,-8.39291
17,6850,0.08330942326464266,-8.39176
17,6900,0.08197277813800073,-8.39237
